episode,has_audio,raw_audio_occurrences,unique_audio_url_count,canonical_audio_occurrences,mirror_audio_occurrences,episode_page_occurrences,canonical_post_count,titles
1,yes,15,5,15,0,94,2,Episode 1: Welcome To The BNI Podcast! | Special Episode 1: BNI online™ | Special Episode 1: BNI online™ - The Official BNI Podcast
2,yes,15,4,15,0,67,2,Episode 2: The Key To Networking | Special Episode 2: Don’t Stop Networking – Just Do it Differently
3,yes,15,5,15,0,59,2,"Episode 3: Planes, Trains and Automobiles | Special Episode 3: We Are All in This Together | Special Episode 3: We Are All in This Together - The Official BNI Podcast"
4,yes,15,5,15,0,58,2,Episode 4: BNI Portugal | Special Episode 4: Thoughts About Our Transition | Special Episode 4: Thoughts About Our Transition - The Official BNI Podcast
5,yes,17,4,17,0,64,2,Episode 5: The GAINS Exchange | Special Episode 5: Give Each Other Grace | Special Episode 5: Give Each Other Grace - The Official BNI Podcast
6,yes,10,3,10,0,38,1,Episode 6: Lead vs. Referral | Episode 6: Lead vs. Referral - The Official BNI Podcast
7,yes,10,3,10,0,40,1,Episode 7: Simplify Your Story | Episode 7: Simplify Your Story - The Official BNI Podcast
8,yes,10,2,10,0,38,1,Episode 8: Six Degrees of Separation | Episode 8: Six Degrees of Separation - The Official BNI Podcast
9,yes,10,3,10,0,43,1,Episode 9: The Hidden Elements | Episode 9: The Hidden Elements - The Official BNI Podcast
10,yes,10,3,10,0,36,1,Episode 10: The Annual BNI USA Conference | Episode 10: The Annual BNI USA Conference - The Official BNI Podcast
11,yes,10,3,10,0,41,1,Episode 11: Core Groups | Episode 11: Core Groups - The Official BNI Podcast
12,yes,10,2,10,0,40,1,Episode 12: Leadership Team Transitions | Episode 12: Leadership Team Transitions - The Official BNI Podcast
13,yes,10,3,10,0,1,1,"Episode 13: Givers Gain, Chapter One"
14,yes,10,3,10,0,1,1,"Episode 14: Givers Gain, Chapter Two"
